"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS","npz6.24","20210513_TOP_1_0009_0001.mp4","1.95028","SUS","SUS","SUS",1,"-28.0836","113.5114","20210513","10:31:21","NPZ6","No-take","npz6.24","49.3","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.16628","Labridae",NA,"sp3",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.79301","Pinguipedidae","Parapercis","spp",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.45101","Sparidae","Chrysophrys","auratus",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.25","20210511_TOP_3_0002_0001.mp4","0.08509","SUS","SUS","SUS",1,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0003_0001.mp4","0.62618","Labridae","Anampses","geographicus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","0.99822","Labridae","Austrolabrus","maculatus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","2.98187","Labridae","Choerodon","rubescens",2,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.56935","Labridae","Coris","auricularis",20,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
"2021-05_Abrolhos_BOSS","npz6.26","20210511_TOP_2_0004_0001.mp4","1.56935","Labridae","Pseudojuloides","elongatus",1,"-28.0487","113.4414","20210511","13:01:18","NPZ6","No-take","npz6.26","42","Claude","Y","Y"
