"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"26","20210511_TOP_1_0003_0001.mp4","13756","20210511_BOTTOM_1_0003_0001.mp4","13225","npz6.19","1.55767",65.71823,"1.09551","2.60902","1384.93698","12.10889","14.51407","86.84443","246.89609","-153.11254","-1354.12308","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"27","20210511_TOP_1_0003_0001.mp4","13756","20210511_BOTTOM_1_0003_0001.mp4","13225","npz6.19","1.55767",58.40717,"0.90738","4.75562","1157.10252","10.80248","75.82946","82.37784","215.61526","23.28241","-1136.59765","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"28","20210511_TOP_1_0003_0001.mp4","13756","20210511_BOTTOM_1_0003_0001.mp4","13225","npz6.19","1.55767",71.61457,"2.02089","1.37656","1142.93860","22.03827","58.42058","55.79175","216.21273","370.36868","-1059.42802","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"29","20210511_TOP_1_0003_0001.mp4","13756","20210511_BOTTOM_1_0003_0001.mp4","13225","npz6.19","1.55767",60.51051,"1.60554","0.61216","1106.60025","26.07338","44.24482","64.86499","290.94657","389.75732","-993.98362","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"30","20210511_TOP_1_0003_0001.mp4","13765","20210511_BOTTOM_1_0003_0001.mp4","13234","npz6.19","1.56267",221.16106,"5.31165","5.43851","2343.90561","10.91321","44.57102","62.36440","358.50033","261.52176","-2301.51632","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"31","20210511_TOP_1_0003_0001.mp4","13767","20210511_BOTTOM_1_0003_0001.mp4","13236","npz6.19","1.56378",120.07866,"2.19895","1.21993","1495.82179","19.22748","76.89711","76.09515","327.89973","367.61356","-1412.38269","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"32","20210511_TOP_1_0003_0001.mp4","13803","20210511_BOTTOM_1_0003_0001.mp4","13272","npz6.19","1.58380",104.61518,"1.40258","0.30106","1677.35807","10.30763","63.38077","83.97836","293.75801","-61.54122","-1650.28755","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"33","20210511_TOP_1_0003_0001.mp4","13810","20210511_BOTTOM_1_0003_0001.mp4","13279","npz6.19","1.58770",161.37269,"6.79966","11.40280","2218.67265","29.44649","39.47313","47.76273","186.99240","-1074.57419","-1932.05396","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"34","20210511_TOP_1_0003_0001.mp4","13841","20210511_BOTTOM_1_0003_0001.mp4","13310","npz6.19","1.60494",115.66475,"2.89029","0.51144","1287.17413","30.98287","59.16770","46.62296","446.93947","-489.18519","-1103.52173","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"35","20210511_TOP_1_0003_0001.mp4","13843","20210511_BOTTOM_1_0003_0001.mp4","13312","npz6.19","1.60605",145.6669,"2.93336","2.84507","2571.69643","8.78557","85.00382","83.20237","345.64382","186.59229","-2541.52242","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
