"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"149","20210513_TOP_2_0004_0001.mp4","18199","20210513_BOTTOM_2_0004_0001.mp4","16202","npz6.39","0.85530",157.63974,"8.49519","7.27225","2138.61622","30.81902","66.35109","33.60996","137.26500","1087.04076","-1836.62192","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"150","20210513_TOP_2_0004_0001.mp4","18230","20210513_BOTTOM_2_0004_0001.mp4","16233","npz6.39","0.86392",55.02288,"1.86356","3.73333","1513.18691","10.27858","71.22293","76.84403","154.83778","221.19598","-1488.90302","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"151","20210513_TOP_2_0004_0001.mp4","18236","20210513_BOTTOM_2_0004_0001.mp4","16239","npz6.39","0.86559",443.03861,"38.95734","13.78981","4894.62801","31.06419","83.34519","55.35263","375.53600","2497.54342","-4192.68804","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"153","20210513_TOP_2_0004_0001.mp4","18260","20210513_BOTTOM_2_0004_0001.mp4","16263","npz6.39","0.87226",63.92576,"1.44181","3.20565","1312.67921","17.46990","8.37346","54.95061","91.11739","383.39384","-1252.13158","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"154","20210513_TOP_2_0004_0001.mp4","18261","20210513_BOTTOM_2_0004_0001.mp4","16264","npz6.39","0.87254",69.05126,"1.04924","3.79669","1295.88630","10.80455","19.75520","69.97366","242.22752","-18.40742","-1272.91331","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"156","20210513_TOP_2_0004_0001.mp4","18271","20210513_BOTTOM_2_0004_0001.mp4","16274","npz6.39","0.87532",109.81746,"2.57391","2.75852","1827.21109","17.15954","11.24911","57.33381","179.52483","508.31792","-1745.87631","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"158","20210513_TOP_2_0004_0001.mp4","18282","20210513_BOTTOM_2_0004_0001.mp4","16285","npz6.39","0.87838",61.81004,"1.52595","4.87328","1244.04602","11.98536","42.21286","66.06814","172.24774","192.53755","-1216.92667","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"159","20210513_TOP_2_0004_0001.mp4","18287","20210513_BOTTOM_2_0004_0001.mp4","16290","npz6.39","0.87977",67.53084,"5.17072","5.98935","1969.44450","30.44321","79.15084","81.78401","49.72331","996.64675","-1697.92063","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"160","20210513_TOP_2_0004_0001.mp4","18301","20210513_BOTTOM_2_0004_0001.mp4","16304","npz6.39","0.88366",58.86644,"1.46946","2.13484","1665.46539","9.03532","78.93950","86.09511","171.56163","197.42097","-1644.79985","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"161","20210513_TOP_2_0004_0001.mp4","18312","20210513_BOTTOM_2_0004_0001.mp4","16315","npz6.39","0.88672",70.19972,"2.73784","1.79055","1470.65933","29.08049","80.56411","73.34587","455.69508","550.70432","-1285.26480","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"162","20210513_TOP_2_0004_0001.mp4","18317","20210513_BOTTOM_2_0004_0001.mp4","16320","npz6.39","0.88811",128.31231,"9.19495","5.12431","2264.47590","16.53152","71.42381","46.29322","280.04048","580.30303","-2170.87006","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"163","20210513_TOP_2_0004_0001.mp4","18324","20210513_BOTTOM_2_0004_0001.mp4","16327","npz6.39","0.89006",78.8425,"1.62007","1.75109","1544.32978","18.10638","7.66269","22.26790","-216.80934","428.18922","-1467.85631","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"164","20210513_TOP_2_0004_0001.mp4","18327","20210513_BOTTOM_2_0004_0001.mp4","16330","npz6.39","0.89089",77.95224,"1.16423","1.41824","1117.09826","23.74078","15.16177","22.89807","56.11224","446.22888","-1022.56527","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"165","20210513_TOP_2_0004_0001.mp4","18373","20210513_BOTTOM_2_0004_0001.mp4","16376","npz6.39","0.90368",61.72796,"1.19827","1.15260","1248.53722","12.26115","13.28852","49.98384","-153.40282","216.26752","-1220.05784","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"166","20210513_TOP_2_0004_0001.mp4","18383","20210513_BOTTOM_2_0004_0001.mp4","16386","npz6.39","0.90646",72.64262,"1.56440","3.14831","1048.99397","28.79150","33.99063","40.39184","101.82735","-494.85219","-919.31543","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"168","20210513_TOP_2_0004_0001.mp4","18456","20210513_BOTTOM_2_0004_0001.mp4","16459","npz6.39","0.92676",77.06793,"2.96667","5.22262","1434.68611","17.77513","53.16482","53.76407","161.75818","407.01849","-1366.19709","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"169","20210513_TOP_2_0004_0001.mp4","18512","20210513_BOTTOM_2_0004_0001.mp4","16515","npz6.39","0.94233",61.11228,"0.79837","2.86426","967.67405","14.79415","5.33551","40.72423","223.07177","106.27212","-935.59515","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"170","20210513_TOP_2_0004_0001.mp4","18533","20210513_BOTTOM_2_0004_0001.mp4","16536","npz6.39","0.94817",55.16354,"1.55825","7.23065","1190.67764","14.66005","63.11933","69.02694","256.62989","-157.94736","-1151.91448","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"171","20210513_TOP_2_0004_0001.mp4","18581","20210513_BOTTOM_2_0004_0001.mp4","16584","npz6.39","0.96152",254.6508,"2.62678","3.41548","1545.17484","21.88265","52.22217","76.79847","247.26917","520.11101","-1433.84371","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"172","20210513_TOP_2_0004_0001.mp4","18706","20210513_BOTTOM_2_0004_0001.mp4","16709","npz6.39","0.99627",121.25804,"1.51342","4.70679","1228.06223","22.05459","73.71158","78.18288","351.71542","298.21525","-1138.20067","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"173","20210513_TOP_2_0004_0001.mp4","19274","20210513_BOTTOM_2_0004_0001.mp4","17277","npz6.39","1.15421",77.74151,"0.95155","0.54416","940.22364","17.70569","71.92733","81.44643","168.32379","-231.15659","-895.68645","Mullidae","Parupeneus","spilurus","37355015",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"174","20210513_TOP_2_0004_0001.mp4","19713","20210513_BOTTOM_2_0004_0001.mp4","17716","npz6.39","1.27627",276.9154,"5.36704","8.68543","1923.42774","13.33674","74.84424","58.64665","314.51757","-312.94482","-1871.55510","Mullidae","Parupeneus","spilurus","37355015",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"175","20210513_TOP_2_0004_0001.mp4","19781","20210513_BOTTOM_2_0004_0001.mp4","17784","npz6.39","1.29518",72.9402,"3.78565","3.17826","1701.35459","27.14240","51.63126","65.56273","292.45483","718.95817","-1513.99364","Labridae","Anampses","geographicus","37384048",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"177","20210513_TOP_2_0004_0001.mp4","20609","20210513_BOTTOM_2_0004_0001.mp4","18612","npz6.39","1.52541",247.0801,"4.02920","6.55035","2430.69451","11.47725","71.07117","84.87974","-13.34387","-483.47250","-2382.08986","Mullidae","Parupeneus","spilurus","37355015",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"178","20210513_TOP_2_0004_0001.mp4","23683","20210513_BOTTOM_2_0004_0001.mp4","21686","npz6.39","2.38016",186.35502,"1.81938","4.86612","1584.28277","15.65928","24.63641","77.03530","276.99830","325.78184","-1525.48026","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"179","20210513_TOP_2_0004_0001.mp4","23840","20210513_BOTTOM_2_0004_0001.mp4","21843","npz6.39","2.42381",100.51995,"3.37848","3.66535","1458.85778","28.44740","62.02349","53.68891","431.66004","544.60672","-1282.70774","Labridae","Suezichthys","cyanolaemus","37384161",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1139","113.4539","20210513","11:59:54","NPZ6","Fished","out6.2","36.3","Claude","Y","Y"
"182","20210513_TOP_2_0005_0001.mp4","1843","20210513_BOTTOM_2_0004_0001.mp4","71774","npz6.40","1.16700",125.67167,"1.79759","0.89759","1470.03069","10.94724","24.55198","58.99373","-48.98077","274.83567","-1443.27976","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"183","20210513_TOP_2_0005_0001.mp4","1901","20210513_BOTTOM_2_0004_0001.mp4","71832","npz6.40","1.18313",118.78408,"0.69593","3.01884","896.12585","15.08838","74.58651","81.20016","233.05898","9.90633","-865.23228","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"184","20210513_TOP_2_0005_0001.mp4","1996","20210513_BOTTOM_2_0004_0001.mp4","71927","npz6.40","1.20954",123.33277,"2.52664","0.41435","1081.16648","6.37522","64.35008","33.60328","-119.33632","13.08656","-1074.48060","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"185","20210513_TOP_2_0005_0001.mp4","2018","20210513_BOTTOM_2_0005_0001.mp4","21","npz6.40","1.21566",91.97021,"1.23861","3.07257","1294.03549","7.78571","17.24835","55.38981","3.25071","175.27088","-1282.10663","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"187","20210513_TOP_2_0005_0001.mp4","2152","20210513_BOTTOM_2_0005_0001.mp4","155","npz6.40","1.25292",191.5206,"11.18696","14.62308","3170.21655","30.21191","11.95070","56.05561","-115.09090","-1591.09455","-2739.60675","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"188","20210513_TOP_2_0005_0001.mp4","2153","20210513_BOTTOM_2_0005_0001.mp4","156","npz6.40","1.25320",93.75964,"0.64164","3.58099","877.99860","4.35449","6.80216","40.54511","51.79612","41.96712","-875.46414","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"189","20210513_TOP_2_0005_0001.mp4","2311","20210513_BOTTOM_2_0005_0001.mp4","314","npz6.40","1.29713",124.9777,"1.34764","4.64262","1498.69389","9.39061","47.10825","80.42521","223.74491","-98.66458","-1478.60978","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"190","20210513_TOP_2_0005_0001.mp4","2996","20210513_BOTTOM_2_0005_0001.mp4","999","npz6.40","1.48760",52.77729,"3.43810","4.31528","1516.38582","37.55431","51.20941","59.14866","442.04856","811.69212","-1202.15428","Labridae","Austrolabrus","maculatus","37384025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"191","20210513_TOP_2_0005_0001.mp4","3022","20210513_BOTTOM_2_0005_0001.mp4","1025","npz6.40","1.49483",80.67796,"1.54212","2.82112","1455.42028","22.13008","19.74528","77.86028","466.79118","287.59087","-1348.20091","Labridae","Austrolabrus","maculatus","37384025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"192","20210513_TOP_2_0005_0001.mp4","3080","20210513_BOTTOM_2_0005_0001.mp4","1083","npz6.40","1.51095",175.35485,"12.66136","15.19861","3325.41658","30.24525","21.51219","54.32690","-352.25013","-1637.56283","-2872.75187","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"193","20210513_TOP_2_0005_0001.mp4","8158","20210513_BOTTOM_2_0005_0001.mp4","6161","npz6.40","2.92292",252.18795,"3.59589","6.53578","1869.74961","14.86397","81.44987","69.39459","478.71737","29.69812","-1807.18325","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1038","113.4337","20210513","12:14:36","NPZ6","Fished","out6.3","48.7","Claude","Y","Y"
"194","20210513_TOP_2_0005_0001.mp4","45550","20210513_BOTTOM_2_0005_0001.mp4","43553","npz6.28","1.04521",106.77445,"4.90394","4.49448","1972.46472","17.93541","58.02609","59.77038","508.10521","332.83009","-1876.61139","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0937","113.429","20210513","12:27:11","NPZ6","No-take","npz6.28","47.3","Claude","Y","Y"
"195","20210513_TOP_2_0005_0001.mp4","45550","20210513_BOTTOM_2_0005_0001.mp4","43553","npz6.28","1.04521",97.64749,"2.33724","4.68273","1756.57563","21.84802","2.25574","59.70683","523.55888","391.42396","-1630.40833","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0937","113.429","20210513","12:27:11","NPZ6","No-take","npz6.28","47.3","Claude","Y","Y"
"196","20210513_TOP_2_0005_0001.mp4","45674","20210513_BOTTOM_2_0005_0001.mp4","43677","npz6.28","1.07969",117.55323,"10.07133","7.52111","2716.29538","9.15000","89.63246","60.33230","431.57708","-17.80575","-2681.73168","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0937","113.429","20210513","12:27:11","NPZ6","No-take","npz6.28","47.3","Claude","Y","Y"
"197","20210513_TOP_2_0005_0001.mp4","45726","20210513_BOTTOM_2_0005_0001.mp4","43729","npz6.28","1.09415",74.50068,"1.94308","7.10545","1291.48778","23.96665","66.64033","65.99358","524.44198","13.21593","-1180.13840","Labridae","Suezichthys","cyanolaemus","37384161",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0937","113.429","20210513","12:27:11","NPZ6","No-take","npz6.28","47.3","Claude","Y","Y"
"201","20210513_TOP_2_0006_0001.mp4","35557","20210513_BOTTOM_2_0006_0001.mp4","33560","npz6.43","0.63174",422.45612,"12.43537","13.12650","3195.96146","12.14820","77.06750","62.83160","-646.04556","-186.98755","-3124.39281","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"202","20210513_TOP_2_0006_0001.mp4","36295","20210513_BOTTOM_2_0006_0001.mp4","34298","npz6.43","0.83695",325.29286,"11.00936","8.23920","3911.96967","4.00175","37.49878","65.20533","271.32006","-30.27875","-3902.43197","Pomacanthidae","Chaetodontoplus","personifer","37365008",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"205","20210513_TOP_2_0006_0001.mp4","36811","20210513_BOTTOM_2_0006_0001.mp4","34814","npz6.43","0.98042",253.83683,"24.08635","9.13027","3296.00488","26.05426","87.97901","23.99491","474.44901","-1367.72468","-2961.05986","Pomacanthidae","Chaetodontoplus","personifer","37365008",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"209","20210513_TOP_2_0006_0001.mp4","38188","20210513_BOTTOM_2_0006_0001.mp4","36191","npz6.43","1.36331",85.21548,"2.56326","2.01461","1115.27324","4.20134","76.42207","42.40851","-2.59250","81.66557","-1112.27623","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"210","20210513_TOP_2_0006_0001.mp4","38254","20210513_BOTTOM_2_0006_0001.mp4","36257","npz6.43","1.38166",210.27462,"3.00149","0.66276","1462.34967","3.78747","39.85592","41.08377","-65.95105","-70.57876","-1459.15580","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"211","20210513_TOP_2_0006_0001.mp4","38273","20210513_BOTTOM_2_0006_0001.mp4","36276","npz6.43","1.38694",125.92152,"3.87627","4.23672","1619.29138","8.24754","48.14225","45.66323","-221.93482","-68.57409","-1602.54395","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"212","20210513_TOP_2_0006_0001.mp4","38284","20210513_BOTTOM_2_0006_0001.mp4","36287","npz6.43","1.39000",111.62539,"2.45501","1.44067","1223.60415","11.10219","67.12272","52.52917","-53.56885","229.44610","-1200.70478","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"213","20210513_TOP_2_0006_0001.mp4","38321","20210513_BOTTOM_2_0006_0001.mp4","36324","npz6.43","1.40029",68.92448,"2.94122","2.54689","1712.42263","3.07595","77.74787","69.58512","-89.31511","-21.59234","-1709.95551","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"214","20210513_TOP_2_0006_0001.mp4","38377","20210513_BOTTOM_2_0006_0001.mp4","36380","npz6.43","1.41586",179.71,"1.67236","3.10624","1132.22284","3.99483","31.35064","36.55035","-76.29560","20.01806","-1129.47192","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"215","20210513_TOP_2_0006_0001.mp4","38390","20210513_BOTTOM_2_0006_0001.mp4","36393","npz6.43","1.41947",104.70776,"3.25969","5.92908","1686.56719","25.44162","50.20115","73.45991","-312.76365","653.55124","-1523.00971","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"216","20210513_TOP_2_0006_0001.mp4","38427","20210513_BOTTOM_2_0006_0001.mp4","36430","npz6.43","1.42976",151.6334,"2.80024","0.70327","1677.64394","26.88080","8.24552","48.67610","-321.14010","-687.18703","-1496.37302","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"218","20210513_TOP_2_0006_0001.mp4","38486","20210513_BOTTOM_2_0006_0001.mp4","36489","npz6.43","1.44617",120.79522,"1.68577","4.58006","1738.46824","10.72291","4.73365","34.92699","-285.18655","152.62386","-1708.11195","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"219","20210513_TOP_2_0006_0001.mp4","38506","20210513_BOTTOM_2_0006_0001.mp4","36509","npz6.43","1.45173",114.51626,"3.46579","1.60546","1780.07372","20.12539","88.50049","74.43156","-238.35513","564.19750","-1671.38579","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"220","20210513_TOP_2_0006_0001.mp4","38513","20210513_BOTTOM_2_0006_0001.mp4","36516","npz6.43","1.45367",84.21946,"1.25352","1.89017","1000.20575","24.35199","29.73389","75.49865","42.57049","410.22309","-911.21694","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"221","20210513_TOP_2_0006_0001.mp4","38566","20210513_BOTTOM_2_0006_0001.mp4","36569","npz6.43","1.46841",61.1349,"0.47268","2.00954","533.68003","18.90434","76.80333","79.58870","35.11191","-169.30392","-504.89377","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
"222","20210513_TOP_2_0006_0001.mp4","38571","20210513_BOTTOM_2_0006_0001.mp4","36574","npz6.43","1.46980",88.50696,"1.69592","0.45176","1146.15323","23.35240","42.28062","64.88776","25.59949","453.59658","-1052.26519","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1064","113.4111","20210513","12:45:00","NPZ6","Fished","out6.6","56.2","Claude","Y","Y"
