"sample","family","genus","species","length","number","range","frameleft","frameright","marine.region","latitude","longitude","date","time","site","location","status","depth","successful.count","successful.length","NetName","ResName","ResArea","zone","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","campaignid","project","id","scientific"
"npz6.1","Labridae","Labroides","dimidiatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Labroides dimidiatus"
"npz6.1","Labridae","Notolabrus","parilus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Notolabrus parilus"
"npz6.1","Labridae","Unknown","sp1",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp1"
"npz6.1","Labridae","Unknown","sp2",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp2"
"npz6.1","Labridae","Unknown","sp3",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp3"
"npz6.1","Labridae","Unknown","sp4",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp4"
"npz6.1","Labridae","Unknown","sp5",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp5"
"npz6.1","Labridae","Unknown","sp6",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp6"
"npz6.1","Labridae","Unknown","sp7",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown sp7"
"npz6.1","Labridae","Unknown","spp",NA,1,2146.23811,18665,15991,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown spp"
